Country Name,Country Code,Access to electricity (% of population),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, secondary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 Emissions (million tonnes),CO2 Emissions per Capita,population,GDP (CO2 dataset)
Uzbekistan,UZB,100.0,2878.9687929245074,89.0,72.388,2.02114614047908,86.5340747437302,4.46,125.039,3.579,34938955.0,393572000000.0
Vanuatu,VUT,61.6,3515.236336117979,45.7,71.477,2.32481600892244,117.083997498033,5.082,0.221,0.707,313062.0,99281829888.0
"Venezuela, RB",VEN,100.0,7826.353764832983,80.80000000000001,72.514,0.310851368612458,95.4098510742188,5.485,87.515,3.102,28213016.0,149682000000.0
Viet Nam,VNM,99.8,4323.3503198245135,78.10000000000001,74.588,0.671429250652247,88.6602113500235,1.645,297.634,2.986,99680656.0,833804000000.0
Virgin Islands (U.S.),VIR,100.0,7826.353764832983,80.80000000000001,80.51951219512196,-0.471640678399366,88.6602113500235,12.32,11.355,2.8655,7348056.0,99281829888.0
West Bank and Gaza,PSE,100.0,3455.0285291171217,86.6,65.17,2.39326476511584,88.8576889038086,5.1835,3.516,0.663,5305274.0,24076503040.0
World,WLD,91.60013735685652,13263.619548804616,65.4,73.3297162833404,0.9290018202566774,77.0950164794922,4.915954069048326,11.355,2.8655,7348056.0,99281829888.0
"Yemen, Rep.",YEM,83.6,426.35407591461524,80.80000000000001,69.295,3.00980765711571,88.6602113500235,17.091,10.296,0.269,38222880.0,60852994048.0
Zambia,ZMB,51.1,1330.7278057670908,33.0,66.349,2.79406758723844,88.6602113500235,5.905,7.522,0.373,20152934.0,68469604352.0
Zimbabwe,ZWE,62.0,2156.034093229838,38.4,62.775,1.67709591394986,88.6602113500235,8.759,10.425,0.649,16069061.0,25901586432.0
